group,coc_number,coc_name,homeless_rate,psh_beds_pc,rrh_beds_pc,es_beds_pc
Highest rate,CA-522,Humboldt County CoC,122.50151647408678,20.638842449438535,45.642171294994895,23.449867585921204
Highest rate,MA-502,Lynn CoC,118.81747290223082,24.65408258574625,0,116.53669874231598
Highest rate,NY-600,New York City CoC,104.02435085673405,45.65490197839485,1.7738205127629398,103.94162771489965
Highest rate,CA-501,San Francisco CoC,89.17041640302864,67.3306032586836,19.299479466812187,39.398693609884724
Highest rate,OR-501,"Portland, Gresham/Multnomah County CoC",80.91822979646437,71.4475714893349,46.96778305638832,23.51601723479908
Highest rate,CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",80.49503970471315,4.502102577693199,4.821400632848745,21.616478334030468
Highest rate,MA-500,Boston CoC,79.02424351984493,53.63987002471597,40.46916277140848,81.78902866413785
Highest rate,OR-500,"Eugene, Springfield/Lane County CoC",78.38500248422723,27.506918364684555,8.243748490727866,21.566978374732496
Highest rate,CA-600,Los Angeles City & County CoC,77.13137055697025,26.14160809174264,9.138531705081304,22.183380157944107
Highest rate,OR-503,Central Oregon CoC,76.80040288735941,6.201854027940984,3.1242422546770374,19.538171712084754
Lowest rate,MI-502,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",1.835539362634322,5.054651109163861,2.010791864594383,1.235991329613061
Lowest rate,AL-507,Alabama Balance of State CoC,1.8575989581692345,0.026255815663169393,0.15753489397901635,1.0436686726109832
Lowest rate,TN-503,Central Tennessee CoC,2.0907770929123544,0.5071246565787414,0.9697646941593474,1.067630855955245
Lowest rate,MS-501,Mississippi Balance of State CoC,2.127727700432466,1.4356997590296734,2.8610707428145292,1.4873436352537626
Lowest rate,AR-505,Southeast Arkansas CoC,2.7946576544373314,0.3899522308517207,0,3.347089981477269
Lowest rate,MI-504,"Pontiac, Royal Oak/Oakland County CoC",3.1249620511408946,5.059847880733313,1.4653319462603676,2.007747639074979
Lowest rate,LA-506,Slidell/Southeast Louisiana CoC,3.2133335687423856,5.93230812690902,0.9534066632532353,0.6356044421688236
Lowest rate,IL-504,Madison County CoC,3.2988577704969653,5.585565997773271,2.361682267514873,1.6494288852484826
Lowest rate,LA-505,Monroe/Northeast Louisiana CoC,3.43068608097544,1.5747411519231527,4.133695523798275,2.249630217033075
Lowest rate,IL-518,"Rock Island, Moline/Northwestern Illinois CoC",3.512426723511458,0.36335448863911635,0.060559081439852724,4.435952715469211
